Title,Authors,Abstract,Published Year,Journal,Volume,Issue,Pages,DOI,Covidence #,Study,Citation,Includes Race?,Indigenous Variable Mentioned,"Indigenous Variables - included, excluded, aggregated",Aggregation variable,Reason,Number of Cities,Census Unit,Number of Census Units,Independent Variable,Dependent Variable,Result,Country
The unequal connectivity of parks and tree canopy in 10 U.S. cities,"Stuhlmacher, M.; Kim, Y.","The connectivity of urban green space has a strong influence on the benefits that green space provides—more connected green space has been linked to greater biodiversity, increased recreational opportunities, improved air quality, and increased noise attenuation. Previous urban green space equity research largely focuses on the total amount or accessibility of green space, ignoring connectivity and other measures of configuration that also impact green space equity. Taking both a demographic and spatial approach, we examine whether green space (i.e., park and tree canopy) area, patch size, and connectivity are distributed equally in ten U.S. cities. We find that not only are wealthy, college-educated, and predominately White census tracts more likely to have greater total green space, the green space patches are larger and more connected. This inequality was stronger for tree canopy than for parks, pointing to the need for policy interventions to improve tree canopy connectivity in areas of systematic disinvestment. © 2024 Elsevier GmbH",2024,Urban Forestry and Urban Greening,96,,,10.1016/j.ufug.2024.128332,#1747,Stuhlmacher 2024,"Stuhlmacher & Kim, 2024",Yes,Yes,Included,,,10,census tracts,,American Indian and Native Hawaiian/Pacific Islander," - all area, average size, connectivity","Generally n/s, but positive for some native hawaiian, mostly tree canopy. For native americans, mostly n/s for parks, mixed for tree canopy between positive and negative but still msotly n/s. The number of negative associations decreses to near-0 when using spatial lag models",United States
The Disparity of Greenness Accessibility across Major Metropolitan Areas in the United States from 2013 to 2022,"Tang, M.; Li, X.","Urban green space (UGS) is a fundamental infrastructure in modern urban settings, crucial for regulating the urban climate and improving public health. Accessibility to UGS represents a significant environmental justice issue, influencing the sustainable development of local communities. In this work, we comprehensively evaluated the temporal dynamics of UGS accessibility and the disparity in exposure for all 31 metropolitan divisions in the United States from 2013 to 2022. Our findings indicate that there have been no significant changes in both population-weighted UGS exposure and within-city inequality of UGS exposure for all racial/ethnic groups across the study period. Furthermore, a consistent racial/ethnic disparity in UGS exposure was noted throughout the study period, with the White group tending to have higher-than-average UGS accessibility, and all other racial/ethnic groups, including Asian, Black, Hispanic, Native American, and Pacific Islander, experiencing lower-than-average UGS accessibility. These findings underscore the urgency for urban planning and policy-making strategies to address these inequities, promoting healthy and sustainable urban development. © 2024 by the authors.",2024,Land,13,8,,10.3390/land13081182,#1626,Tang 2024,"Tang & Li, 2024",Yes,Yes,Included,,,31 metropolitan divisions,census tracts,,Native American; Pacific Islander,NDVI,negative,United States
Parks and safety: a comparative study of green space access and inequity in five US cities,"Williams, T.G.; Logan, T.M.; Zuo, C.T.; Liberman, K.D.; Guikema, S.D.","Safety is an important dimension of access to green space. When parks are perceived as unsafe, people are unlikely to derive the health and community benefits from them. In this study, we examine inequities in green space access in five medium-to-large US cities using parcel-level, network-based analysis. We quantify access using three measures: proximity, congestion-weighted acreage, and crime-constrained proximity. We find that, in the five US cities studied, there is a striking lack of access to safe parks. In addition, inequalities between socioeconomic subgroups are substantially exacerbated when considering access to safe parks, with racial/ethnic minorities and low-income communities fairly consistently worse off. The results suggest that interventions to improve park safety could result in large and immediate improvements for access and environmental justice. However, even once these inequalities are addressed, there remains significant work to provide all residents with sufficient and proximal access to green space and the wide array of benefits that it has to offer. © 2020 Elsevier B.V.",2020,Landscape and Urban Planning,201,,,10.1016/j.landurbplan.2020.103841,#3935,Williams 2020,"Williams et al., 2020",Yes,Yes,Included,,,5,census blocks,,Native American,proximity to nearest park; proximity to greenspace with filters for crime; total park area within 10 minutes,generally not significant; except for baltimore and seattle (positive) for crime filter and seatle (negative) for park area,United States
"Unequal access to social, environmental and health amenities in US urban parks","Winkler, RL; Clark, JAG; Locke, DH; Kremer, P; Aronson, MFJ; Hoover, FA; Joo, HE; La Rosa, D; Lee, KJ; Lerman, SB; Pearsall, H; Vargo, TLV; Nilon, CH; Lepczyk, CA","Urban parks provide vital social, environmental and health benefits to residents. However, the spatial distribution of parks, and the amenities they provide, may not be equitably distributed within cities. We examine the accessibility of urban parks with different social, environmental and health amenities by race and ethnicity. We identified 122,988 urban parks across the USA, measured the racial/ethnic population distribution within a 10-min walkshed around each park and compared these distributions to the overall demographics of the city. We found that the spatial distribution of parks as well as park amenities differ according to the neighborhood demographics. Racial/ethnic compositions of neighborhoods surrounding parks tend to be whiter than other parts of the same cities, though there are regional differences. Parks in predominantly white neighborhoods are cooler in the summer and have more tree cover compared with parks in neighborhoods with greater proportions of Hispanic and Black residents. Differences in amenities hold across regions of the country. Our study demonstrates that inequities in access to high-quality parks are widespread across the USA.",2024,NATURE CITIES,1,12,,10.1038/s44284-024-00153-2,#6523,Winkler 2024,"Winkler et al., 2024",Yes,Yes,Included,,,3524,census blocks,,Native American and Alaska Native; Pacific Islander,access to parks; noise; tree canopy; tree length; park ammenities,"Some n/s. More inequitable (more noise, less trees) for pacific islanders. Greater park heat, greater noise, less canopy for AIAN",United States
Environmental justice criteria for new land protection can inform efforts to address disparities in access to nearby open space,"Sims, K.R.E.; Lee, L.G.; Estrella-Luna, N.; Lurie, M.R.; Thompson, J.R.","Substantial funding is being allocated to new land protection and access to protected open space for marginalized communities is a crucial concern. Using New England as a study area, we show striking disparities in the distribution of protected open space across multiple dimensions of social marginalization. Using a quartile-based approach within states, we find that communities in the lowest income quartile have just 52% as much nearby protected land as those in the most affluent quartile. Similarly, communities with the highest proportions of people of color have just 47% as much protected land as those in the lowest quartile. These disparities persist across both public and private protected land, within urban, exurban and rural communities, for different sized buffers around communities, and across time. To help address these disparities in future conservation plans, we develop a screening tool to identify and map communities with high social marginalization and low nearby protected open space within each state. We then show that areas prioritized according to these environmental justice (EJ) criteria are substantially different from areas prioritized according to conventional conservation criteria. This demonstrates how incorporating EJ criteria in conservation prioritization processes could shift patterns of future land protection. Our work provides methods that can be used broadly across regions to inform conservation efforts. © 2022 The Author(s). Published by IOP Publishing Ltd.",2022,Environmental Research Letters,17,6,,10.1088/1748-9326/ac6313,#3283,Sims 2022,"Sims et al., 2022",Yes,Yes,Excluded,,"They say they look at it, but they don't",,,,,,,
Urban flood risk and green infrastructure: Who is exposed to risk and who benefits from investment? A case study of three US Cities,"Pallathadka, A; Sauer, J; Chang, HEJ; Grimm, NB","Pluvial flooding is a serious hazard in inland U.S. cities. City managers and communities are increasingly interested in reducing their pluvial flood risk through the development of green infrastructure (GI) features. This research explores the relationship between pluvial flood exposure and GI placement in three inland cities-Atlanta, Phoenix, and Portland-and analyzes the variation of sociodemographic variables in census block groups (CBG) located in pluvial flood zones. Using the Arc-MalstrOm method, we estimated areas of pluvial flooding in the CBGs of our selected cities by relating pluvial flood area to the density of GI in CBGs and assigning CBGs one of four classifications: i) managed (large flood area, abundant GI), ii) prepared (small flood area, abundant GI), iii) vulnerable (large flood area, scarce GI), and iv) least concern (small flood area, scarce GI). Then, using the historical GI data, we examined the proportionality of GI investment over time to pluvial flood area. We found relationships between GI density, flood area, ethnic and racial minority populations, age, educational attainment, and median household incomes that indicated inequalities and potential discrimination in flood risk management, but also some evidence of equitable and appropriate management given differences in flood risk, especially in Phoenix and Portland. In Atlanta, newer GI installation prioritized white and wealthy neighborhoods where relatively higher flood risk exists (less equitable). Our classification framework may assist city flood risk managers to distribute GI more equitably according to equitability and need.",2022,LANDSCAPE AND URBAN PLANNING,223,,,10.1016/j.landurbplan.2022.104417,#9038,Pallathadka 2022,"Pallathadka et al., 2022a",Yes,Yes,Excluded,non-White,"Included in a non-greening model, then changed to non-White",,,,,,,
Disparities in NatureScore™ across U.S. public schools: Implications for environmental and socioeconomic equity,"Ashraf, K.; Lee, K.","This study examines the impacts of NatureScore™ on educational equity by analyzing its correlation with racial demographics and socio-economic status (SES) across 65,406 United States schools. While previous studies have examined nature access in educational contexts regionally, this study uniquely utilizes a comprehensive national dataset, evaluating NatureScore™ disparities across racial and socio-economic groups in urban and rural public schools. Using a cross-sectional design with data from 2022, the variability in NatureScore™ was analyzed concerning the percentages of students from different racial backgrounds and those participating in free or reduced-price lunch (FRPL) programs. Multiple linear regression and bootstrap ANOVA were conducted to assess these relationships. Results show significant disparities: NatureScores™ are higher in schools with lower percentages of economically disadvantaged students and higher percentages of White students, indicating irregular distribution of nature across the U.S. Because NatureScore™ is calculated from 1-km buffers, our estimates reflect equity in the surrounding outdoor environment rather than indoor spaces or on-campus micro-features (like playgrounds, gardens). In urban areas, the gap between low and high socio-economic status schools can reach up to 25 points on a 0 (deficit) to 100 (utopia) NatureScore™ scale. Rural schools also show a consistent decline in NatureScore™ with increasing levels of economic disadvantage, although the differences are smaller (approximately 2.5–5 points) than those observed in urban schools. These findings highlight the need for integrating environmental quality into educational and health equity frameworks, recommending targeted green-infrastructure and nature-based learning interventions in schools, particularly in schools serving economically disadvantaged and minority communities. © 2025 Elsevier GmbH",2025,Urban Forestry and Urban Greening,113,,,10.1016/j.ufug.2025.129063,#307,Ashraf 2025,"Ashraf & Lee, 2025",Yes,Yes,Excluded,,not specified,,,,,,,
From XS to XL urban nature: Examining access to different types of green space using a 'just sustainabilities' framework,"Choi, D.-A.; Park, K.; Rigolon, A.","Different types of urban green spaces provide diverse benefits for human health and environmental sustainability, but most studies on access to green space focus on neighborhood parks, with less work on smaller or larger green spaces. In this study, we examined sociodemographic differences in access to green spaces of different sizes for 14,385 census block groups in 12 U.S. cities using a 'just sustainabilities' framework. We classified green spaces into street-level greenery (XS), neighborhood parks (S-L; walking and cycling access), and large parks (XL; walking, cycling, and driving access). We ran spatial filtering models at the census block group level using different thresholds based on transportation modes. We uncovered a complex picture of inequality, with consistent injustices for XS green space, and fewer injustices for S-L and XL green space based on socioeconomic status and age, and some instances of just distributions for S-L and XL green space based on race/ethnicity. Our findings present a concerning picture for 'just sustainabilities': the green space type that is most often part of sustainability and climate adaptation strategies-street greenery-is unjustly distributed, likely as a result of structural racism in U.S. institutions. By examining multimodal access to green spaces of different sizes, this study helps urban greening professionals develop more just and sustainable strategies. © 2020 by the authors.",2020,Sustainability (Switzerland),12,17,,10.3390/su12176998,#3928,Choi 2020,"Choi et al., 2020",Yes,Yes,Excluded,,because their share of the total population is relatively small in the sampled urban areas,,,,,,,
"Gentrification, neighborhood socioeconomic factors and urban vegetation inequities: A study of greenspace and tree canopy increases in Montreal, Canada","Kiani, B.; Thierry, B.; Fuller, D.; Firth, C.; Winters, M.; Kestens, Y.","This study investigates the relationship between increasing urban vegetation and census tract-level green inequities, as well as the role of social indicators in this relationship. We analyzed the augmentation of greenspace and tree canopy in Montreal, Canada, between 2011 and 2017, and its effect on green inequities based on material deprivation, the percentage of visible minorities, and gentrification status using Poisson spatial random effect models. Our analyses showed an increase in greenspace from 57.4% to 65.8% and tree canopy from 21.1% to 22.3% between 2011 and 2017. Census tracts (CTs) with higher levels of material deprivation or a higher percentage of visible minority population had less greenspace and tree canopy at baseline in 2011. Additionally, CTs that were not gentrified had less greenspace and tree canopy than ineligible for gentrification CTs. Furthermore, CTs with more visible minorities, higher levels of material deprivation, or those that did not gentrify had smaller increases in greenspace and tree canopy between 2011 and 2017. Among CTs with more visible minorities or higher levels of material deprivation, those with greater greenspace and tree canopy at baseline also experienced greater increases during the study time period. Conversely, among ineligible for gentrification CTs, those with less greenspace/tree canopy at baseline experienced greater increase in greenspace/tree canopy. Our analysis revealed that despite an increase in urban vegetation, inequities in urban vegetation persists. To reduce green inequities and promote social equity in this particular study area, urban planning policies should prioritize CTs with higher levels of material deprivation, more visible minorities, or those that did not gentrify, and focus on increasing urban vegetation. © 2023 The Authors",2023,Landscape and Urban Planning,240,,,10.1016/j.landurbplan.2023.104871,#2214,Kiani 2023,"Kiani et al., 2023",Yes,Yes,Excluded,,No reason given; uses visible minorities (Canada),,,,,,,
Assessing environmental equity in Massachusetts using GIS,"Anoh, JDH; Xia, ZG","Many lines of evidence indicate that minority and low-income populations are often exposed to unequal share of environmental hazards in their communities. This disproportionate distribution of environmental toxins has become a focus of heated political debate, an area of intensive scientific research, and a top priority of the U.S. Environmental Protection agency.This paper presents the result of a study on the status of environmental inequities in the Commonwealth of Massachusetts. We first analysed the spatial relationships between relevant demographic characteristics and locally unwanted land uses such as waste disposal sites, and underground storage facilities. In addition, we analysed the amount of protected open space and other areas of critical environmental concern as priority habitats, and wetlands in relation to income and racial differences of the population. We finally discussed ways of separating spatial association of environmental hazards and minority and low-income population as a result of urban decay from those due to unfair economic and environmental policies.",1996,GIS/LIS '96 - ANNUAL CONFERENCE AND EXPOSITION PROCEEDINGS,,,267-279,,#8433,Anoh 1996,"Anoh & Xia, 1996",Yes,Yes,Aggregated,Minority Population,,,,,,,,
